"EXPEDIENTE"	"RUC"	"DENOMINACION"	"CIIU4"	"TIPO_COMPANIA"	"PATRIMONIO"	"FECHA_PATRIMONIO"	"COTIZA_EN_BOLSA"	"ESPUBLICA"	"CUMPLIMIENTO"	"HABILITADA"	"IMPEDIMENTO"
"600169"	"1790500748001"	"ALFASEGUROS CIA. LTDA."	"K6622.00"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"SI"	"SI"	""
"1"	"1790013731001"	"ACEITES TROPICALES SOCIEDAD ANONIMA ATSA"	"A0126.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"2"	"1790004724001"	"ACERIA DEL ECUADOR CA ADELCA."	"C2410.25"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"3"	"1790008959001"	"ACERO COMERCIAL ECUATORIANO S.A."	"G4663.13"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"11"	"1790044149001"	"AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA"	"H5110.01"	"SUCURSAL  EXTRANJERA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"21"	"1790022900001"	"AGENCIAS Y DISTRIBUCIONES INTERANDINAS SA ADISA"	"G4649.22"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"22"	"1790023516001"	"AGENCIAS Y REPRESENTACIONES CORDOVEZ SA"	"G4630.95"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"40"	"1790340155001"	"AGUA Y GAS DE SILLUNCHI SA"	"C2011.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"41"	"1790046400001"	"AIR FRANCE SUCURSAL EN ECUADOR"	"H5110.01"	"SUCURSAL  EXTRANJERA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"49"	"1790036391001"	"ALMACENES EL GLOBO DE QUITO SA"	"G4719.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"58"	"1790017508001"	"DESEDUSA DESARROLLO Y EDUCACION S.A."	"P8521.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"63"	"1790084604001"	"CONFITECA C.A."	"C1073.21"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"69"	"1790038092001"	"ATU ARTICULOS DE ACERO SA"	"C3100.02"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"76"	"1790016714001"	"ASOCIACION MOTELERA SA AMSA"	"I5510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"78"	"1790027740001"	"ASTAP CIA LTDA"	"G4659.22"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"79"	"1790011194001"	"ASTRA C.A."	"C1399.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"83"	"1890000130001"	"AUTOMOTORES DE LA SIERRA SA"	"G4510.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"85"	"1790014797001"	"AUTOMOTORES Y ANEXOS S.A. (A.Y.A.S.A.)"	"G4510.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"94"	"1790011860001"	"GODDARD CATERING GROUP QUITO S.A."	"I5610.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"109"	"1790010740001"	"CABLES ELECTRICOS ECUATORIANOS CABLEC C.A."	"G4659.93"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"113"	"1190000709001"	"CAMAL FRIGORIFICO LOJA SA CAFRILOSA"	"C1010.22"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"120"	"1291735629001"	"AGROEXPORT S.A."	"G4630.91"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"131"	"1790002152001"	"CASA INDUSTRIAL FARMACEUTICA SA CIFSA"	"C2100.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"138"	"0990021007001"	"LINDE ECUADOR S.A."	"C2011.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"163"	"1790102963001"	"COLEGIO FRANCES DE QUITO C LTDA"	"P8521.02"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"168"	"1790009459001"	"CASABACA S.A."	"G4510.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"181"	"1390006841001"	"COMPANIA EMBOTELLADORA INDUSTRIAL LICORERA MANABI CA CEILMACA"	"C1101.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"189"	"1790037215001"	"COINTEC S.A. INGENIEROS CONTRATISTAS"	"C2610.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"190"	"1790015734001"	"COMERCIAL INMOBILIARIA DASSUM SA CIDSA"	"G4641.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"193"	"1790041220001"	"COMERCIAL KYWI SA"	"G4663.21"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"202"	"1890006627001"	"ALMACENES EDMUNDO JORDAN C.A."	"G4659.99"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"216"	"1790013235001"	"C.A. ECUATORIANA DE CERAMICA"	"C2392.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"222"	"1790000346001"	"PITEX SA"	"C1430.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"225"	"1891736033001"	"ORTIZ & ASOCIADOS CIA. LTDA."	"M6920.09"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"245"	"0190018253001"	"EMPRESA HOTELERA CUENCA CA"	"I5510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"258"	"1790017397001"	"COMPANIA ECUATORIANA DEL TE CA CETCA"	"A0127.09"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"304"	"1790041883001"	"AROMCOLOR S.A."	"C1079.94"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"307"	"1790013561001"	"PINTURAS CONDOR SA"	"C2022.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"354"	"0190003647001"	"CUENCA BOTTLING CO, CA"	"C1104.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"356"	"0190004937001"	"CURTIEMBRE RENACIENTE S.A."	"C1511.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"360"	"1790046621001"	"DELLTEX INDUSTRIAL SA"	"C1311.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"369"	"1790034305001"	"SEAFMAN SOCIEDAD ECUATORIANA DE ALIMENTOS Y FRIGORIFICOS MANTA C.A."	"C1020.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"374"	"1890001714001"	"DISTRIBUIDORA DE HIDROCARBUROS CORHOL SA"	"G4730.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"383"	"1790013073001"	"KORES DEL ECUADOR SA"	"G4761.03"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"384"	"1790016919001"	"CORPORACION FAVORITA C.A."	"G4711.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"385"	"1891735428001"	"CONSTRUCTORA GARCIA SALTOS CIA. LTDA."	"F4100.20"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"388"	"1790004473001"	"DISTRIBUIDORA NACIONAL DE AUTOMOTORES S.A. DINA"	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"394"	"1790018334001"	"DORLIA SA"	"G4690.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"407"	"0190005070001"	"CONTINENTAL TIRE ANDINA S. A."	"C2211.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"408"	"1790007227001"	"ECUADORIAN TOURS AGENCIA DE VIAJES Y TURISMO SA"	"N7911.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"410"	"1790014967001"	"ECUATORIANA DE ARTEFACTOS SA ECASA"	"C2750.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"418"	"1790019543001"	"EDIFICACIONES GENERALES MODERNAS SA"	"L6820.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"432"	"1792237378001"	"HTQUARTOGRAFICO S.A."	"C1812.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"436"	"1790008851001"	"GRUPO EL COMERCIO C.A."	"C1811.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"437"	"1890021588001"	"EL HERALDO CA"	"C1811.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"441"	"1790024733001"	"ELECTROCROMO CA"	"G4659.93"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"442"	"1790010570001"	"ELECTRO ECUATORIANA SA COMERCIAL E INDUSTRIAL"	"F4329.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"449"	"1792245362001"	"ZOOMMEDIA COMUNICACION GLOBAL CIA. LTDA."	"M7310.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"465"	"1790012158001"	"EMPRESA DURINI INDUSTRIA DE MADERA CA EDIMCA"	"G4663.11"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"469"	"1890001439001"	"EMPRESA ELECTRICA AMBATO REGIONAL CENTRO NORTE S.A."	"D3510.03"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"477"	"0690000512001"	"EMPRESA ELECTRICA RIOBAMBA SA"	"D3510.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"486"	"1790021262001"	"EMPRESA NACIONAL ECUATORIANA DE TRANSPORTES SA ENETSA"	"H4923.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"488"	"1790050564001"	"EMPRESA PASTEURIZADORA QUITO SA"	"C1050.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"496"	"1790030482001"	"ENGINEERING SERVICES COMPANY SA ESCO"	"G4610.04"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"533"	"1790026760001"	"VICUNHA ECUADOR S.A."	"C2826.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"538"	"1790006697001"	"FARMACO VETERINARIA SA FAVESA"	"G4772.04"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"541"	"1790291413001"	"MOLINOS INGUEZA SA"	"C1061.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"550"	"1790021203001"	"FOSFORERA ECUATORIANA SA"	"C2029.91"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"551"	"1790030105001"	"FRANCELANA SA"	"C1312.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"554"	"1790013804001"	"FURUKAWA PLANTACIONES CA DEL ECUADOR"	"A0116.05"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"560"	"1790011119001"	"HAVELLS SYLVANIA N.V."	"G4649.14"	"SUCURSAL  EXTRANJERA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"562"	"1790043479001"	"GRAFICAS AYERVE CA"	"C1811.04"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"569"	"1790022838001"	"METROPOLITAN TOURING CA"	"N7911.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"583"	"1790033287001"	"HOTEL COLON INTERNACIONAL CA"	"I5510.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"585"	"0190002152001"	"HOTEL CRESPO CA"	"I5510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"597"	"1390008410001"	"IMPORTADORA BOWEN CIA LTDA"	"G4752.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"601"	"1790027031001"	"IMPORTADORA COMERCIAL ARMAS SA ICARSA"	"G4663.13"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"603"	"0190005232001"	"MIRASOL SA"	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"604"	"1790012956001"	"DURAGAS SA"	"G4661.03"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"617"	"0190003701001"	"IMPORTADORA TOMEBAMBA S.A."	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"627"	"0190363821001"	"V&C CONSTRUCTORES CIA. LTDA."	"L6810.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"630"	"1790013006001"	"INDUSTRIA DE PLASTICOS EXPANDIBLES PLASTEX S.A."	"C2013.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"636"	"1390005713001"	"INDUSTRIA ECUATORIANA PRODUCTORA DE ALIMENTOS CA INEPACA"	"C1020.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"638"	"1790021335001"	"INEXA INDUSTRIA EXTRACTORA CA"	"C2011.91"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"642"	"1790020762001"	"LA INDUSTRIA HARINERA S.A."	"C1061.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"643"	"0490001964001"	"INDUSTRIA LECHERA CARCHI SA"	"C1050.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"646"	"1790005186001"	"INDUSTRIA LICORERA EMBOTELLADORA DE PICHINCHA S.A. ILEPSA"	"C1101.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"648"	"1190002809001"	"INDUSTRIA LICORERA EMBOTELLADORA DE LOJA S.A. ILELSA"	"C1101.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"649"	"1792236592001"	"CONSTRUCCIONES DEL ECUADOR PAGARIV INNOVA CONSTRUCTORES CIA. LTDA."	"L6810.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"651"	"1790021130001"	"INDUSTRIA PIOLERA PONTE SELVA S.A."	"C1311.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"672"	"1790015726001"	"INDUSTRIAL TEXTILANA SA"	"C1312.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"673"	"0190363074001"	"AGRICOLA RIVERA RIGRICOLA CIA. LTDA."	"A0122.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"677"	"1390000991001"	"INDUSTRIAS ALES CA"	"C1040.13"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"682"	"1790039269001"	"INGESA S.A."	"C1430.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"738"	"1790001075001"	"LA COMPETENCIA SA"	"G4652.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"742"	"1390012949001"	"LA FABRIL S.A."	"C1040.11"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"744"	"0992655232001"	"PROCOMED ECUADOR S.A."	"G4630.33"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"753"	"1190005646001"	"EMPRESA ELECTRICA REGIONAL DEL SUR SA EERSSA"	"D3510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"757"	"1790070611001"	"LA TEJEDORA SA LATESA"	"F4100.10"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"762"	"1790198936001"	"LA VINA CIA LTDA"	"G4711.01"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"767"	"1790013502001"	"LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS LIFE"	"C2100.01"	"AN�NIMA"	""	""	"SI"	"NO"	"NO"	"SI"	" "
"769"	"1790015718001"	"LANAFIT SA"	"C1399.06"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"773"	"1790027864001"	"LEVAPAN DEL ECUADOR SA"	"C1079.91"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"779"	"1390007635001"	"FABRICA GUAYAQUIL LOOR RIGAIL CA"	"C1073.21"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"795"	"1790027791001"	"MANUFACTURAS AMERICANAS CIA LTDA"	"C1410.02"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"801"	"0190363147001"	"CONSTRUCTORA PUNTACORRAL S. A."	"F4100.20"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"806"	"0990004439001"	"MECANOS SOCIEDAD ANONIMA COMERCIAL E INDUSTRIAL MECANOSSAC"	"G4510.01"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"815"	"0190000338001"	"MERCANTIL TOSI SA"	"G4771.11"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"827"	"1790038033001"	"MINERVA CA"	"G4690.00"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"833"	"0490001026001"	"MOLINOS SAN LUIS CIA. LTDA."	"C1061.11"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"835"	"1190001330001"	"MONTERREY AZUCARERA LOJANA CA MALCA"	"C1072.02"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"851"	"1790005798001"	"NEGOCIOS UNIDOS DE COMERCIO SA NUDEC"	"G4649.95"	"AN�NIMA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
"853"	"1091729969001"	"VALENZUELA & MONTUFAR AUDITORES ASESORES CIA. LTDA."	"M7490.29"	"RESPONSABILIDAD LIMITADA"	""	""	"NO"	"NO"	"NO"	"SI"	" "
